,ID,Titles,Date,Author,Technique,Height(cm),Width(cm),Series,Origin,Support
10,P007279,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,181,214,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_a366ec74-2325-45b4-ad9e-5cded2cb8b91_b5d64b6f-9220-4430-958b-ea7041869539"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
11,P007280,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,223,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_71c83952-35e1-4818-9dfb-043dbf77e802_d4b5ff55-cea3-49bb-9fa0-cae22721dc76"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
12,P007281,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,200,223,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_0e4f5ffb-4df5-4c46-9972-f0d836acb4d5_f816c43d-e8a4-4250-979a-2d29805890b8"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
13,P007283,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,186,252,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_ac0f14a1-3d08-4686-918c-440cb1aec203_448404ef-ca70-4fa2-9f09-d1f61661295a"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
14,P007282,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,190,308,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_d4afebfc-87f3-4f4e-ad46-9d36aa2835d7_0f249fd2-4f5f-4dc0-8eec-35a26c42e4fe"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
15,P007286,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,190,189,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_2998b2de-28a8-4120-815a-8b781be19fe1_d3fe61dd-647c-46c3-a567-14c4748a9319"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
16,P007287,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,190,274,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_5e7a1392-df41-4a25-bc54-14a0ab53dfba_cae947d9-f9f5-4368-bccd-419845e0e2a2"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
17,P007284,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,203,207,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_b9067a97-703f-4f71-9955-c564b06fb650_2ee00e44-1b92-4c01-bf77-f92adee267d1"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
18,P007285,El Pantocrátor sostenido por cuatro ángeles,Siglo XII,Anónimo,Pintura al fresco,203,239,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_52e8a064-dfad-43db-a9f9-939eeba21869_e3d62ea4-844e-4476-a5ac-8791df48c02a"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pintura mural de la ermita de la Vera Cruz de Maderuelo.</dd>","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
19,P007263,"Oso, ",Hacia  1125,Anónimo,Pintura al fresco,201,113,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_4b67cb49-aab9-43fb-b66e-0aa56c25e66d_963d1906-5992-48cf-a8e1-dade06ffac97"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pinturas murales de San Baudelio de Casillas de Berlanga.</dd>","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
20,P007264,Elefante,Hacia  1125,Anónimo,Pintura al fresco,205,135,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_ce773332-e8dd-447c-bd22-b57c0778a120_4f0703cd-c0c3-42df-a455-2550f8e863f5"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pinturas murales de San Baudelio de Casillas de Berlanga.</dd>","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
21,P007265,"Cacería de liebres,",Hacia  1125,Anónimo,Pintura al fresco,183,355,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_2b3c6587-3c57-4ab2-be37-5a1d0231bed8_c2b386ea-dcae-42b0-8b9a-1e51d7fc3ad3"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pinturas murales de San Baudelio de Casillas de Berlanga.</dd>","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
22,P007266,Soldado o montero,Hacia  1125,Anónimo,Pintura al fresco,288,130,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_e047c51a-a5b9-4b19-b5b3-eaee59382be4_fedae85f-7471-4582-84c1-35c081cba2f4"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pinturas murales de San Baudelio de Casillas de Berlanga.</dd>","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
23,P007267,Cortina,Hacia  1125,Anónimo,Pintura al fresco,156,112,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_a3ac59cd-8d16-4a35-bbec-05a3796d976e_b9560cb1-0f4c-46f2-86cf-baa223b23cb4"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pinturas murales de San Baudelio de Casillas de Berlanga.</dd>","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
24,P007268,Cacería del ciervo,Hacia  1125,Anónimo,Pintura al fresco,185,246,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_b91ac26a-9f9e-4f3a-b7af-e394601979b2_4f51ad32-b976-4fb6-a6cf-2ce491a9d445"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Pinturas murales de San Baudelio de Casillas de Berlanga.</dd>","San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
25,P008119,"Donación Várez Fisa,",1200 - 1210,Maestro de Lluça,Temple,102,"108,3",,"Capilla de la Magdalena de Solanllong, cerca de Ripoll (Gerona); colección Esteban Planas, Olot, 1935; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Tabla
26,P008126,"Donación Várez Fisa,",1200 - 1215,Maestro de San Esteve de Andorra,Pintura al fresco,"241,5",202,,"Ábside central de la iglesia de Sant Esteve, Andorra la Vella (hasta 1924-1928); colección Ròmul Bosch i Rius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Revestimiento mural trasladado a lienzo
27,P008118,"Donación Várez Fisa, ",Primer tercio del siglo XIII,Anónimo,Temple,104,"135,5",,"Ermita mozárabe de Nuestra Señora de Peñalba, Arnedillo (La Rioja); Iglesia parroquial, Arnedillo, 1941-1945; colección Emilio Bernardo de Quirós, Madrid, 1945; colección Várez Fisa, Madrid; Donación Familia Várez Fisa, 2013.",Tabla
28,P003055,Frontal de Guils,Finales del siglo XIII,Anónimo,Temple,92,175,,"Iglesia de San Esteban de Guils, Cerdaña; colección Plandiura, Barcelona; adquirido por el Museo del Prado a J. A Maragall, Barcelona, 1963.",Tabla
29,P003150,Retablo de san Cristóbal,Finales del siglo XIII,Anónimo,Temple,"275,3","189,1",,"Donación José Luis Várez Fisa, 1970.",Tabla
30,P002676,La Virgen de la Humildad con donante,Siglo XIV,"Serra, Hermanos",Temple,58,32,,"Legado Pablo Bosch y Barrau, 1916",Tabla
31,P002944,La Virgen con el Niño,Hacia  1345,"Traini, Francesco",Dorado,48,42,,Colección Real,Tabla
32,P003107,Marcos,1356 - 1359,"Serra, Jaume",Temple,280,92,,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,Tabla
33,P002535,Retablo de la leyenda de Santa Lucía,1357 - 1385,Maestro de Estamariú,Temple,161,97,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_03a0a1eb-9da9-4445-8639-1fba3bc8f4d8_411e8abd-55d3-4952-8216-0d8406153ad2"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida</dd>","Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida; adquisición a Apolinar Sánchez Villaba, 1931.",Tabla
34,P002536,Retablo de la leyenda de Santa Lucía,1357 - 1385,Maestro de Estamariú,Temple,161,97,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_fd45c125-4c87-49e2-b769-2c506f5d2af4_39ab7757-3150-4e50-8bff-4e3789eb2152"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida</dd>","Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lérida; adquisición a Apolinar Sánchez Villalba, 1931.",Tabla
35,P003106,Lucas,1359 - 1362,"Serra, Jaume",Temple,280,92,,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,Tabla
36,P008117,Retablo de la Magdalena,1359 - 1362,"Serra, Jaume",Temple,"161,4","117,8",,"Iglesia de Santa María de Tobed, hasta final siglo XIX; colección de Román Vicente, Zaragoza, 1908; Fernando Birk Crecelius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Tabla
37,P002841,San Eloy ante el rey Clorario,Hacia  1370,Maestro de la Madonna della Misericordia,Dorado,35,39,,"Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Colección Joseph Spiridon, Paris, ¿1988?-1929; Colección Toscanelli, Pontedera, 1883.",Tabla
38,P002842,San Eloy en el taller de orfebrería,Hacia  1370,Maestro de la Madonna della Misericordia,Dorado,35,39,,"Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Col. Joseph Spiridon, Paris,¿1988?-1929; Col. Toscanelli, Pontedera, 1883.",Tabla
39,P002675,Crucifixión,1375 - 1400,"Borrassà, Luis",Temple,48,35,,"Legado Pablo Bosch y Barrau, 1916",Tabla
40,P002707,La Virgen de la humildad,Hacia  1400,"Nicolau, Pere",Técnica mixta,161,92,,"Legado Pablo Bosch y Barrau, 1916",Tabla
41,P008116,"Donación Várez Fisa,",1400 - 1405,"Borrassà, Luis",Temple,"128,2","84,3",,"Catedral de Barcelona, 1936; Rómulo Bosch Catarineu; colección Várez Fisa, 2012; adquirido por el Estado por dación como pago de impuestos, 2012.",Tabla de madera de álamo
42,P007809,La Virgen de la leche con san Bernardo de Claraval y san Benito,1400 - 1415,"Lembrí, Pere",Dorado,192,107,,"Colección Garnelo, Madrid; Colección Batlló, Barcelona; Colección particular, Barcelona; Adquirido en Christies en 2002.",Tabla
43,P002684,"San Agustín, de pontifical",1401 - 1425,Maestro de San Nicolás,Técnica mixta,127,53,,"Legado Pablo Bosch y Barrau, 1916",Tabla
44,P001327,San Lucas,1401 - 1435,"Sevilla, Juan de",Temple,95,55,,"Adquirida por el Junta Superior del Tesoro Artístico Nacional, 1928",Tabla
45,P001337,"San Bartolomé, San Pablo y San Andrés",Siglo XV,Anónimo,Óleo,48,73,,"Legado Mariano Lanuza y Fernández, 1940",Tabla
46,P002667,Proyecto de altar,Siglo XV,Anónimo,Óleo,105,102,,"Legado Pablo Bosch y Barrau, 1916",Lienzo
47,P002680,Inventario General de Pinturas (III). Nuevas Adquisiciones,Siglo XV,"Espalargues, Pere",Temple,88,63,,"Legado Pablo Bosch y Barrau, 1916",Tabla
48,P002679,Crucifixión,Siglo XV,Anónimo,Óleo,"25,5","17,5",,"Legado Pablo Bosch y Barrau, 1916",Tabla
49,P002714,La Visitación,Siglo XV,Anónimo,Temple,60,43,,"Legado Pablo Bosch y Barrau, 1916",Tabla pasada a lienzo
50,P003144,La Virgen de la Leche,Siglo XV,Anónimo,Óleo,18,13,,"Donación Mª Ángeles Sáinz de la Cuesta, condesa viuda de los Moriles, 1969",Tabla
51,P007157,Cristo ante Pilatos,Siglo XV,"Francés, Nicolás",Temple,186,175,,"Iglesia de Yebes, Guadalajara; Museo Arqueológico Nacional; Museo del Prado, 1943",Tabla pasada a lienzo
52,P002054,Visio Tondalii,Siglo XV,El Bosco,Óleo,29,24,,"Colección Real (colección Felipe V, Quinta del duque del Arco, El Pardo-Madrid, 1745, [nº 149]; Quinta del duque del Arco, 1794, nº 151)",Tabla
53,P006718,"Isabel de Borbón, duquesa de Borgoña",Siglo XV,Anónimo,Óleo,58,46,,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
54,P006719,"Margarita Luisa, condesa de Flandes",Siglo XV,Anónimo,Óleo,58,46,,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
55,P006720,"Carlos el Audaz, duque de Borgoña",Siglo XV,Anónimo,Óleo,58,46,,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
56,P006721,"Margarita Laura Alber, condesa de Holanda",Siglo XV,Anónimo,Óleo,54,40,,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
57,P003099,Retablo de la Magdalena,Siglo XV,Anónimo,Técnica mixta,191,165,,"Adquisición, 1963",Tabla
58,P002051,Las tentaciones de San Antonio Abad,Siglos XV - XVI,El Bosco,Óleo,90,37,,"Colección Real (Real Monasterio de San Lorenzo, El Escorial, Madrid, Capilla del Noviciado, 1839)",Tabla de madera de roble
59,P002053,La Creación,Siglos XV - XVI,El Bosco,Óleo,188,77,,"Colección Real (Palacio Real del Buen Retiro, Madrid, 1794, nº 997; Real Monasterio de San Lorenzo, El Escorial, Madrid, Iglesia Vieja, 1839)",Tabla
60,P002216,"Federico III, emperador de Alemania",Siglos XV - XVI,"Wertingen, Hans",Óleo,47,32,,"Colección Real (Palacio del Buen Retiro, Madrid, cuarto del infante don Luis-pinturas apeadas, 1772, ¿nº 786?; Buen Retiro, 1794, nº 1091).",Tabla
61,P003111,Santo Domingo de Guzmán y cuatro santos,1405,"Gener, Guerau",Temple,155,87,,"Colección Yakichiro Suma, 1962; adquirido por Junta de Exportación en 1962; asignado al Museo N. del Prado en 1965.",Tabla
62,P008106,realista ,1405 - 1408,Colart de Laon,Temple graso,47,"33,5",,"Colección Salazar, Vitoria, 1960; Colección privada hasta  2012; Adquirido por el Museo del Prado en la Sala Sotheby's de Madrid, 2012.",Tabla de madera de roble
63,P007630,Leyenda Dorada,Hacia  1410,"Mateu, Jaume",Temple,"99,5","43,5","<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_784f99ae-002a-4bd7-92b9-a3f511e1e890_67d5daa2-2a3a-4dba-8b56-186651c41781"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Retablo Santa Úrsula, Convento de San Pablo de los Dominicos, Palencia</dd>","Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
64,P007631,Leyenda Dorada,Hacia  1410,"Mateu, Jaume",Temple,"99,5",45,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_5234beea-7bfe-4ceb-9cdd-77692ac6073d_6086ec5f-7570-4988-b42f-d02ec52f1724"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Retablo Santa Úrsula, Convento de San Pablo de los Dominicos, Palencia</dd>","Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
65,P002532,Nuestra Señora de Gracia y los grandes maestres de Montesa,Hacia  1412,"Peris, Antoni",Temple,128,105,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_a862dbc5-7c08-4c65-84dd-b4b21a16e49f_d9ff516d-8eb0-4b62-bb5b-04caf8bea86d"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Retablo de la iglesia del Castillo de Montesa, Valencia</dd>","Donación marqués de Laurencín, 1920.",Tabla
66,P001336,Retablo de San Juan Bautista y Santa Catalina,1410 - 1412 (Obra original); 1510 - 1523 (Repintes de los rostros),"Sevilla, Juan de",Óleo,161,155,,"Catedral de Sigüenza, Capilla de San Juan Bautista y Santa Catalina, hasta 1922; la tabla central procede de la colección de Wenceslao Retana, h. 1922-1924; por herencia pasó a su hijo Álvaro Retana, 1924-1929; adquirida por la Junta Superior del Tesoro Artístico Nacional con destino al Museo del Prado, 1929-1930. Las cuatro tablas laterales fueron compradas por el Museo del Prado, con sus propios fondos, al anticuario Sánchez Villalba, en 1930",Tabla
67,P001321,Retablo del arzobispo don Sancho de Rojas,1415 - 1420,"Rodríguez de Toledo, Juan",Temple,532,618,"<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_caa32b8f-0dc3-4e0f-ba92-236849ec5e5b_1208ee43-9991-4530-b31f-2b301c5ef34b"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Retablo de la iglesia de San Román de la Hornija, Valladolid</dd>","Fue retablo en San Benito de Valladolid, que precedió al de Alonso de Berruguete (siglo XVI). Pasó a la iglesia parroquial de San Román de Hornija, Valladolid, hasta 1928. Adquirido para el Museo del Prado ese mismo año.",Tabla de madera de pino
68,P002677,San Hipólito repone la pierna al boyero Pedro,1419 - 1421,"Borrassà, Luis",Técnica mixta,69,62,,"Capilla de San Lorenzo de la catedral de Barcelona; Legado Pablo Bosch y Barrau, 1916.",Tabla
69,P001915,Antiguo Testamento,1420 - 1425,"Campin, Robert",Óleo,76,70,,"Colección Real (Adquirida por Felipe II a Jacome Trezzo; Monasterio de El Escorial, Madrid, 1584; Oratorio de la enfermería, 1839)",Tabla de madera de roble
70,P001887,Los Desposorios de la Virgen,1420 - 1430,"Campin, Robert",Grisalla,77,88,,Colección Real,Tabla de madera de roble
71,P008233,La Virgen de la granada,Hacia  1426,"Angelico, Fra",Temple,87,59,,"Carlos Miguel Fitz-James Struart y Silva, XIV duque de Alba, Florencia, 1817; Colección Casa de Alba, 1817- 2016; adquirido, con la colaboración de la Fundación Amigos del Museo del Prado, en 2016",Tabla
72,P000015/001,La Anunciación,Hacia  1426,"Angelico, Fra",Témpera,"162,3","191,5",,"Convento de Santo Domingo, Fiesole, 1425/28-1611; Mario Farnese, Roma, lo adquiere para obsequiar a Francisco Sandoval y Rojas V marqués de Denia y I duque de Lerma, pasó al monasterio de las Descalzas Reales, Madrid; Regalado al rey Francisco de Asís, Isabel II lo cede al Museo del Prado, 1861.",Tabla
73,P000015/002,Escenas de la Vida de la Virgen,Hacia  1426,"Angelico, Fra",Témpera,28,"189,3",,"Convento de Santo Domingo, Fiesole, 1425/28-1611; Mario Farnese, Roma, lo adquiere para obsequiar a Francisco Sandoval y Rojas V marqués de Denia y I duque de Lerma, pasó al monasterio de las Descalzas Reales, Madrid; Regalado al rey Francisco de Asís, Isabel II lo cede al Museo del Prado, 1861.",Tabla
74,P002825,El Descendimiento,Antes de  1443,"Weyden, Rogier van der",Óleo,"204,5","261,5",,"Capilla de Nuestra Señora Extramuros de Lovaina (Bélgica); adquirido por María de Hungría, para la capilla del Palacio de Binche; posteriormente enviado a España, a la capilla de El Pardo; Colección Real (Monasterio de El Escorial, 1574-1936); depositada en el Museo del Prado por la Junta Delegada de Incautación, Protección y Conservación del Tesoro Artístico Nacional, 1936; por Decreto de 02-03-1943 quedó establecido su depósito en el Museo del Prado; depósito del Patrimonio Nacional perteneciente al Real Patronato del Monasterio de San Lorenzo de El Escorial",Tabla
75,P002720,El arcángel Gabriel,1425 - 1450,"Peris, Gonçal",Temple,34,23,,"Legado Pablo Bosch y Barrau, 1916",Tabla
76,P002721,La Virgen anunciada,1425 - 1450,"Peris, Gonçal",Temple,34,23,,"Legado Pablo Bosch y Barrau, 1916",Tabla
77,P007632,Leyenda Dorada,1425 - 1450,"Mateu, Jaume",Temple,100,"47,5","<dd about=""http://museodelprado.es/items/E22_Man-Made_Object_b1367ebc-65e2-4c30-b509-4e06b7a932d9_217570a9-f030-4e15-97ee-8793a3fee207"" property=""ecidoc:p46i_E78_p102_forms_part_of"">Retablo Santa Úrsula, Convento de San Pablo de los Dominicos, Palencia</dd>","Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
