,ID,Titles,Date,Author,Technique,Height(cm),Width(cm),Origin,Support
40,P002707,La Virgen de la humildad,Hacia  1400,"Nicolau, Pere",Técnica mixta,161,92,"Legado Pablo Bosch y Barrau, 1916",Tabla
41,P008116,"Donación Várez Fisa,",1400 - 1405,"Borrassà, Luis",Temple,"128,2","84,3","Catedral de Barcelona, 1936; Rómulo Bosch Catarineu; colección Várez Fisa, 2012; adquirido por el Estado por dación como pago de impuestos, 2012.",Tabla de madera de álamo
42,P007809,La Virgen de la leche con san Bernardo de Claraval y san Benito,1400 - 1415,"Lembrí, Pere",Dorado,192,107,"Colección Garnelo, Madrid; Colección Batlló, Barcelona; Colección particular, Barcelona; Adquirido en Christies en 2002.",Tabla
43,P002684,"San Agustín, de pontifical",1401 - 1425,Maestro de San Nicolás,Técnica mixta,127,53,"Legado Pablo Bosch y Barrau, 1916",Tabla
44,P001327,San Lucas,1401 - 1435,"Sevilla, Juan de",Temple,95,55,"Adquirida por el Junta Superior del Tesoro Artístico Nacional, 1928",Tabla
45,P001337,"San Bartolomé, San Pablo y San Andrés",Siglo XV,Anónimo,Óleo,48,73,"Legado Mariano Lanuza y Fernández, 1940",Tabla
46,P002667,Proyecto de altar,Siglo XV,Anónimo,Óleo,105,102,"Legado Pablo Bosch y Barrau, 1916",Lienzo
47,P002680,Inventario General de Pinturas (III). Nuevas Adquisiciones,Siglo XV,"Espalargues, Pere",Temple,88,63,"Legado Pablo Bosch y Barrau, 1916",Tabla
48,P002679,Crucifixión,Siglo XV,Anónimo,Óleo,"25,5","17,5","Legado Pablo Bosch y Barrau, 1916",Tabla
49,P002714,La Visitación,Siglo XV,Anónimo,Temple,60,43,"Legado Pablo Bosch y Barrau, 1916",Tabla pasada a lienzo
50,P003144,La Virgen de la Leche,Siglo XV,Anónimo,Óleo,18,13,"Donación Mª Ángeles Sáinz de la Cuesta, condesa viuda de los Moriles, 1969",Tabla
51,P007157,Cristo ante Pilatos,Siglo XV,"Francés, Nicolás",Temple,186,175,"Iglesia de Yebes, Guadalajara; Museo Arqueológico Nacional; Museo del Prado, 1943",Tabla pasada a lienzo
52,P002054,Visio Tondalii,Siglo XV,El Bosco,Óleo,29,24,"Colección Real (colección Felipe V, Quinta del duque del Arco, El Pardo-Madrid, 1745, [nº 149]; Quinta del duque del Arco, 1794, nº 151)",Tabla
53,P006718,"Isabel de Borbón, duquesa de Borgoña",Siglo XV,Anónimo,Óleo,58,46,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
54,P006719,"Margarita Luisa, condesa de Flandes",Siglo XV,Anónimo,Óleo,58,46,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
55,P006720,"Carlos el Audaz, duque de Borgoña",Siglo XV,Anónimo,Óleo,58,46,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
56,P006721,"Margarita Laura Alber, condesa de Holanda",Siglo XV,Anónimo,Óleo,54,40,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
57,P003099,Retablo de la Magdalena,Siglo XV,Anónimo,Técnica mixta,191,165,"Adquisición, 1963",Tabla
58,P002051,Las tentaciones de San Antonio Abad,Siglos XV - XVI,El Bosco,Óleo,90,37,"Colección Real (Real Monasterio de San Lorenzo, El Escorial, Madrid, Capilla del Noviciado, 1839)",Tabla de madera de roble
59,P002053,La Creación,Siglos XV - XVI,El Bosco,Óleo,188,77,"Colección Real (Palacio Real del Buen Retiro, Madrid, 1794, nº 997; Real Monasterio de San Lorenzo, El Escorial, Madrid, Iglesia Vieja, 1839)",Tabla
60,P002216,"Federico III, emperador de Alemania",Siglos XV - XVI,"Wertingen, Hans",Óleo,47,32,"Colección Real (Palacio del Buen Retiro, Madrid, cuarto del infante don Luis-pinturas apeadas, 1772, ¿nº 786?; Buen Retiro, 1794, nº 1091).",Tabla
61,P003111,Santo Domingo de Guzmán y cuatro santos,1405,"Gener, Guerau",Temple,155,87,"Colección Yakichiro Suma, 1962; adquirido por Junta de Exportación en 1962; asignado al Museo N. del Prado en 1965.",Tabla
62,P008106,realista,1405 - 1408,Colart de Laon,Temple graso,47,"33,5","Colección Salazar, Vitoria, 1960; Colección privada hasta  2012; Adquirido por el Museo del Prado en la Sala Sotheby's de Madrid, 2012.",Tabla de madera de roble
63,P007630,Leyenda Dorada,Hacia  1410,"Mateu, Jaume",Temple,"99,5","43,5","Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
64,P007631,Leyenda Dorada,Hacia  1410,"Mateu, Jaume",Temple,"99,5",45,"Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
65,P002532,Nuestra Señora de Gracia y los grandes maestres de Montesa,Hacia  1412,"Peris, Antoni",Temple,128,105,"Donación marqués de Laurencín, 1920.",Tabla
66,P001336,Retablo de San Juan Bautista y Santa Catalina,1410 - 1412 (Obra original); 1510 - 1523 (Repintes de los rostros),"Sevilla, Juan de",Óleo,161,155,"Catedral de Sigüenza, Capilla de San Juan Bautista y Santa Catalina, hasta 1922; la tabla central procede de la colección de Wenceslao Retana, h. 1922-1924; por herencia pasó a su hijo Álvaro Retana, 1924-1929; adquirida por la Junta Superior del Tesoro Artístico Nacional con destino al Museo del Prado, 1929-1930. Las cuatro tablas laterales fueron compradas por el Museo del Prado, con sus propios fondos, al anticuario Sánchez Villalba, en 1930",Tabla
67,P001321,Retablo del arzobispo don Sancho de Rojas,1415 - 1420,"Rodríguez de Toledo, Juan",Temple,532,618,"Fue retablo en San Benito de Valladolid, que precedió al de Alonso de Berruguete (siglo XVI). Pasó a la iglesia parroquial de San Román de Hornija, Valladolid, hasta 1928. Adquirido para el Museo del Prado ese mismo año.",Tabla de madera de pino
68,P002677,San Hipólito repone la pierna al boyero Pedro,1419 - 1421,"Borrassà, Luis",Técnica mixta,69,62,"Capilla de San Lorenzo de la catedral de Barcelona; Legado Pablo Bosch y Barrau, 1916.",Tabla
69,P001915,Antiguo Testamento,1420 - 1425,"Campin, Robert",Óleo,76,70,"Colección Real (Adquirida por Felipe II a Jacome Trezzo; Monasterio de El Escorial, Madrid, 1584; Oratorio de la enfermería, 1839)",Tabla de madera de roble
70,P001887,Los Desposorios de la Virgen,1420 - 1430,"Campin, Robert",Grisalla,77,88,Colección Real,Tabla de madera de roble
71,P008233,La Virgen de la granada,Hacia  1426,"Angelico, Fra",Temple,87,59,"Carlos Miguel Fitz-James Struart y Silva, XIV duque de Alba, Florencia, 1817; Colección Casa de Alba, 1817- 2016; adquirido, con la colaboración de la Fundación Amigos del Museo del Prado, en 2016",Tabla
72,P000015/001,La Anunciación,Hacia  1426,"Angelico, Fra",Témpera,"162,3","191,5","Convento de Santo Domingo, Fiesole, 1425/28-1611; Mario Farnese, Roma, lo adquiere para obsequiar a Francisco Sandoval y Rojas V marqués de Denia y I duque de Lerma, pasó al monasterio de las Descalzas Reales, Madrid; Regalado al rey Francisco de Asís, Isabel II lo cede al Museo del Prado, 1861.",Tabla
73,P000015/002,Escenas de la Vida de la Virgen,Hacia  1426,"Angelico, Fra",Témpera,28,"189,3","Convento de Santo Domingo, Fiesole, 1425/28-1611; Mario Farnese, Roma, lo adquiere para obsequiar a Francisco Sandoval y Rojas V marqués de Denia y I duque de Lerma, pasó al monasterio de las Descalzas Reales, Madrid; Regalado al rey Francisco de Asís, Isabel II lo cede al Museo del Prado, 1861.",Tabla
74,P002825,El Descendimiento,Antes de  1443,"Weyden, Rogier van der",Óleo,"204,5","261,5","Capilla de Nuestra Señora Extramuros de Lovaina (Bélgica); adquirido por María de Hungría, para la capilla del Palacio de Binche; posteriormente enviado a España, a la capilla de El Pardo; Colección Real (Monasterio de El Escorial, 1574-1936); depositada en el Museo del Prado por la Junta Delegada de Incautación, Protección y Conservación del Tesoro Artístico Nacional, 1936; por Decreto de 02-03-1943 quedó establecido su depósito en el Museo del Prado; depósito del Patrimonio Nacional perteneciente al Real Patronato del Monasterio de San Lorenzo de El Escorial",Tabla
75,P002720,El arcángel Gabriel,1425 - 1450,"Peris, Gonçal",Temple,34,23,"Legado Pablo Bosch y Barrau, 1916",Tabla
76,P002721,La Virgen anunciada,1425 - 1450,"Peris, Gonçal",Temple,34,23,"Legado Pablo Bosch y Barrau, 1916",Tabla
77,P007632,Leyenda Dorada,1425 - 1450,"Mateu, Jaume",Temple,100,"47,5","Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
78,P007633,Leyenda Dorada,1425 - 1450,"Mateu, Jaume",Temple,100,"44,5","Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
79,P008234,Funeral de san Francisco de Asís,1426 - 1430,"Angelico, Fra",Temple,"19,7","29,3","Colección Casa de Alba; donación Carlos Fitz-James Stuart y Martínez de Irujo, XIX Duque de Alba, 2016",Tabla de madera de chopo
80,P002844,Las Siete Artes Liberales,Hacia  1435,"Ponte, Giovanni dal",Temple,56,155,"Donación Francisco de Asís Cambó Batlle, 1941",Tabla
81,P002722,B,1435 - 1438,"Weyden, Rogier van der",Óleo,100,52,"Legado Pedro Fernández Durán y Bernaldo de Quirós, 1931",Tabla
82,P008121,"Donación Várez Fisa,",1435 - 1440,Maestro de Torralba,Temple,366,280,"Zaragoza?, comarca de Calatayud?; colección Junyer, Barcelona, antes de 1971; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Tabla
83,P001332,Retablo de la leyenda de San Miguel,Hacia  1440,Maestro de Arguis,Temple,344,160,"Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
84,P002538,Tríptico con pasajes de la vida de Cristo,Hacia  1440,Maestro de las Horas Collins,Grisalla,78,134,"Familia Corella, Condes de Cocentaina, Valencia, s. XVI; Convento de monjas de la Encarnación, Valencia; adquirido a Eduardo Arévalo Carbó en 1931.",Tabla de madera de roble
85,P001332/001,Retablo de la leyenda de San Miguel (calle izquierda),Hacia  1440,Maestro de Arguis,Temple,"276,3",87,"Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
86,P001332/002,Retablo de la leyenda de San Miguel (calle derecha),Hacia  1440,Maestro de Arguis,Temple,276,"87,5","Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
87,P001332/003,"Predela: San Pablo, Santa Catalina y San Lorenzo",Hacia  1440,Maestro de Arguis,Temple,"67,3","138,1","Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
88,P001332/004,"Predela: San Vicente, Santa Bárbara y San Pedro",Hacia  1440,Maestro de Arguis,Temple,"67,3","137,5","Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
89,P001513,San Juan Bautista y el maestro franciscano Enrique de Werl,1438,"Campin, Robert",Óleo,101,47,"Colección Real (Casita del Príncipe, El Escorial-Madrid, hasta antes de 1801, nº 257).",Tabla de madera de roble
90,P001514,Santa Bárbara,1438,"Campin, Robert",Óleo,101,47,"Colección Real (Casita del Príncipe, El Escorial-Madrid, hasta antes de 1801, nº 257).",Tabla de madera de roble
91,P001461,Tríptico de Miraflores,Hacia  1445,"Bouts, Dirk",Óleo,81,"202,6","Colección Real (colección de Felipe II, Real Monasterio de San Lorenzo, El Escoria, Madrid, 1584; encima de la puerta del refectorillo, 1839).",Tabla
92,P001511,La Fuente de la Gracia,1440 - 1450,"Eyck, Jan van",Óleo,181,119,"Segovia, Monasterio de  Santa María del Parral, de monjes jerónimos, sacristía, hasta 1838; Museo de la Trinidad.",Tabla
93,P002540,Tríptico de Miraflores,1440 - 1450,"Weyden, Rogier van der",Óleo,"46,8","34,5","Adquisición a la testamentaría de Fermín Lasala y Collado, duque viudo de Mandas y Villanueva, 1925.",Tabla
94,P001888,YNRY,Hacia  1450,Maestro de la Redención del Prado,Óleo,195,172,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
95,P001889,"Expulsión del Paraíso,",Hacia  1450,Maestro de la Redención del Prado,Óleo,195,77,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
96,P001890,Tríptico de la Redención: la moneda del César (Jesús y un apóstol),Hacia  1450,Maestro de la Redención del Prado,Grisalla,195,77,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
97,P001891,"El Juicio Final, ",Hacia  1450,Maestro de la Redención del Prado,Óleo,195,77,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
98,P001892,Tríptico de la Redención,Hacia  1450,Maestro de la Redención del Prado,Grisalla,195,77,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
99,P001921,La Madonna del Canciller Rolin,Hacia  1450,"Christus, Petrus",Óleo,49,34,"Piedrahita (Ávila), Convento del Risco, hasta 1839; Museo de la Trinidad.",Tabla
100,P008184,Nacimiento de Jesús,Hacia  1450,Maestro del Tríptico del Zarzoso,Temple,"136,5",152,"Monasterio del Zarzoso, El Cabaco (Salamanca), de monjas terciarias franciscanas, desde fecha no determinada; ingresó en la Colección Várez Fisa, poco antes de 1970; en depósito en el Museo del Prado desde diciembre de 2013; adquirido a la Colección Várez Fisa por el Museo del Prado, en parte con fondos del legado Villaescusa, Madrid, 2014",Tabla
101,P002666,La Trinidad rodeada de ángeles,Hacia  1450,Maestro de Velilla de Jiloca,Técnica mixta,97,86,"Legado Pablo Bosch y Barrau, 1916",Tabla
102,P002545,doble Credo,1445 - 1460,"Francés, Nicolás",Óleo,557,558,"Capilla de Esteva de las Delicias, La Bañeza (León); Ignacio Martínez lo vendió al Museo en 1932.",Tabla
103,P008122,"Donación Várez Fisa,",1450 - 1460,"Reixach, Joan",Temple,91,64,"Colección Várez Fisa, Madrid, antes de 1996; donación Familia Várez Fisa, 2013.",Tabla
104,P002683,Un profeta (fragmento),1450 - 1475,Maestro de San Jorge y la princesa,Técnica mixta,30,26,"Legado Pablo Bosch y Barrau, 1916",Tabla
105,P002671,Martirio de San Vicente. II,1450 - 1500,Anónimo,Técnica mixta,250,84,"Legado Pablo Bosch y Barrau, 1916",Tabla
106,P002670,Martirio de San Vicente,1450 - 1500,Anónimo,Técnica mixta,250,84,"Legado Pablo Bosch y Barrau, 1916",Tabla
107,P003109,Resurrección de Cristo,Segunda mitad del siglo XV,"Berruguete, Pedro",Óleo,96,57,"Colección Yakichiro Suma, 1962; adquirido por la Junta de Exportación en 1962; asignado al Museo Nacional del Prado en 1965.",Tabla
108,P002673,Martirio de San Sebastián,Segunda mitad del siglo XV,Anónimo,Temple,86,60,"Legado Pablo Bosch y Barrau, 1916",Tabla
109,P002674,Santa Irene arranca las flechas a San Sebastián,Segunda mitad del siglo XV,Anónimo,Temple,86,60,"Legado Pablo Bosch y Barrau, 1916",Tabla
110,P007818,Memoria de actividades 2002,Hacia  1460,"Sánchez, Juan",Técnica mixta,232,120,"Adquirido en Subastas Arte, Información y Gestión, Sevilla, 2002.",Tabla
111,P008202,San Martín entronizado con donante,1455 - 1465,"Baró, Bartomeu",Óleo,"161,5",105,"Colección Gottscheweski, Berlín; Trinidad von Scholtz-Hermensdorff, duquesa de Parcent, Madrid, después de 1914; Felix Fernández Valdés, Bilbao; Mercedes Zavala Fernández-Valdés; adquirido a Christie's Ibérica, Madrid, 2015.",Tabla
112,P000248,"El Tránsito de la Virgen,",Hacia  1462,"Mantegna, Andrea",Técnica mixta,"54,5",42,"Almoneda de la Commonwealth, de los bienes de Carlos I de Inglaterra, 1649-1654; Colección Real (¿Palacio del Buen Retiro, Madrid, pinturas recogidas de las Casas Arzobispales, 1747, nº 346?; Palacio Real Nuevo, Madrid, primera pieza de la obra nueva, 1794, nº 341; Palacio Real, Madrid, primera pieza de la obra nueva, 1814-1818, nº 341).",Tabla
113,P001558,Tríptico de la Adoración de los Magos,1460 - 1470,Maestro de la Adoración de los Magos del Prado,Óleo,60,55,"Colección Real (Real Monasterio de San Lorenzo, El Escorial, Madrid, capilla cuadrada del Tránsito)",Tabla
114,P001334,"San Vicente, diácono y mártir, con un donante",1462 - 1466,"Giner, Tomás",Técnica mixta,185,117,"Capilla del Arcediano, Seo de Zaragoza; recogido por Paulino Savirón para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
115,P002998,FERNA[N]DO GALLEG[U]S,1465 - 1470,"Gallego, Fernando",Técnica mixta,118,111,"Adquisición a Ana Baliscki, viuda de Weibel, 1959.",Tabla de madera de pino
116,P002575,La Anunciación,Hacia  1470,Maestro de Sopetrán,Óleo,103,60,"Monasterio de Sopetrán, Torre del Burgo, Guadalajara, 1934.",Tabla
117,P002576,El duque del Infantado,Hacia  1470,Maestro de Sopetrán,Óleo,103,60,"Monasterio de Sopetrán, Torre del Burgo, Guadalajara, 1934.",Tabla
118,P002577,La Natividad,Hacia  1470,Maestro de Sopetrán,Óleo,103,60,"Monasterio de Sopetrán, Torre del Burgo, Guadalajara, 1934.",Tabla
119,P002578,Tránsito de la Virgen,Hacia  1470,Maestro de Sopetrán,Óleo,103,60,"Monasterio de Sopetrán, Torre del Burgo, Guadalajara, 1934.",Tabla
120,P007860,La Lamentación,Hacia  1470,Anónimo,Técnica mixta,148,97,"Adquisición, 2003",Tabla
121,P001324,San Sebastián habla a Marcos y a Marceliano y san Sebastián y san Policarpo destruyendo los ídolos,Hacia  1470,"García de Benabarre, Pedro",Óleo,160,68,"Adquirida a Manuel Rivadeneyra, 1866, con destino al Museo de la Trinidad.",Tabla
