,ID,,Titles,Date,Author,Technique,Height(cm),Width(cm),Origin,Support
12,P007281,84,Enjuta Derecha Arco Entrada. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,200,223,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
13,P007283,70,Dos Apóstoles. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,186,252,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
14,P007282,91,La Anunciación Y Ángel Turiferario. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,190,308,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
15,P007286,95,Los Evangelistas San Mateo Y San Lucas. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,190,189,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
16,P007287,73,Cuatro Apóstoles. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,190,274,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
17,P007284,75,El Pecado Original. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,203,207,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
18,P007285,73,Creación De Adán. Pintura Mural De La Ermita De La Vera Cruz De Maderuelo,Siglo XII,Anónimo,Pintura al fresco,203,239,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Revestimiento mural trasladado a lienzo
19,P007263,57,Oso. Ermita De San Baudelio. Casillas De Berlanga (Soria),Hacia  1125,Anónimo,Pintura al fresco,201,113,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
20,P007264,62,Elefante. Ermita De San Baudelio. Casillas De Berlanga (Soria),Hacia  1125,Anónimo,Pintura al fresco,205,135,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
21,P007265,72,Cacería De Liebres. Ermita De San Baudelio. Casillas De Berlanga (Soria),Hacia  1125,Anónimo,Pintura al fresco,183,355,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
22,P007266,71,Soldado O Montero. Ermita De San Baudelio. Casillas De Berlanga (Soria),Hacia  1125,Anónimo,Pintura al fresco,288,130,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
23,P007267,61,Cortina. Ermita De San Baudelio. Casillas De Berlanga (Soria),Hacia  1125,Anónimo,Pintura al fresco,156,112,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
24,P007268,72,Cacería Del Ciervo. Ermita De San Baudelio. Casillas De Berlanga (Soria),Hacia  1125,Anónimo,Pintura al fresco,185,246,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",Revestimiento mural trasladado a lienzo
25,P008119,20,"Donación Várez Fisa,",1200 - 1210,Maestro de Lluça,Temple,102,"108,3","Capilla de la Magdalena de Solanllong, cerca de Ripoll (Gerona); colección Esteban Planas, Olot, 1935; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Tabla
26,P008126,20,"Donación Várez Fisa,",1200 - 1215,Maestro de San Esteve de Andorra,Pintura al fresco,"241,5",202,"Ábside central de la iglesia de Sant Esteve, Andorra la Vella (hasta 1924-1928); colección Ròmul Bosch i Rius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Revestimiento mural trasladado a lienzo
27,P008118,21,"Donación Várez Fisa, ",Primer tercio del siglo XIII,Anónimo,Temple,104,"135,5","Ermita mozárabe de Nuestra Señora de Peñalba, Arnedillo (La Rioja); Iglesia parroquial, Arnedillo, 1941-1945; colección Emilio Bernardo de Quirós, Madrid, 1945; colección Várez Fisa, Madrid; Donación Familia Várez Fisa, 2013.",Tabla
28,P003055,16,Frontal De Guils,Finales del siglo XIII,Anónimo,Temple,92,175,"Iglesia de San Esteban de Guils, Cerdaña; colección Plandiura, Barcelona; adquirido por el Museo del Prado a J. A Maragall, Barcelona, 1963.",Tabla
29,P003150,24,Retablo De San Cristóbal,Finales del siglo XIII,Anónimo,Temple,"275,3","189,1","Donación José Luis Várez Fisa, 1970.",Tabla
30,P002676,36,La Virgen De La Humildad Con Donante,Siglo XIV,"Serra, Hermanos",Temple,58,32,"Legado Pablo Bosch y Barrau, 1916",Tabla
31,P002944,21,La Virgen Con El Niño,Hacia  1345,"Traini, Francesco",Dorado,48,42,Colección Real,Tabla
32,P003107,6,Marcos,1356 - 1359,"Serra, Jaume",Temple,280,92,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,Tabla
33,P002535,36,Retablo De La Leyenda De Santa Lucía,1357 - 1385,Maestro de Estamariú,Temple,161,97,"Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida; adquisición a Apolinar Sánchez Villaba, 1931.",Tabla
34,P002536,36,Retablo De La Leyenda De Santa Lucía,1357 - 1385,Maestro de Estamariú,Temple,161,97,"Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lérida; adquisición a Apolinar Sánchez Villalba, 1931.",Tabla
35,P003106,5,Lucas,1359 - 1362,"Serra, Jaume",Temple,280,92,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,Tabla
36,P008117,23,Retablo De La Magdalena,1359 - 1362,"Serra, Jaume",Temple,"161,4","117,8","Iglesia de Santa María de Tobed, hasta final siglo XIX; colección de Román Vicente, Zaragoza, 1908; Fernando Birk Crecelius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Tabla
37,P002841,29,San Eloy Ante El Rey Clorario,Hacia  1370,Maestro de la Madonna della Misericordia,Dorado,35,39,"Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Colección Joseph Spiridon, Paris, ¿1988?-1929; Colección Toscanelli, Pontedera, 1883.",Tabla
38,P002842,35,San Eloy En El Taller De Orfebrería,Hacia  1370,Maestro de la Madonna della Misericordia,Dorado,35,39,"Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Col. Joseph Spiridon, Paris,¿1988?-1929; Col. Toscanelli, Pontedera, 1883.",Tabla
39,P002675,11,Crucifixión,1375 - 1400,"Borrassà, Luis",Temple,48,35,"Legado Pablo Bosch y Barrau, 1916",Tabla
40,P002707,24,La Virgen De La Humildad,Hacia  1400,"Nicolau, Pere",Técnica mixta,161,92,"Legado Pablo Bosch y Barrau, 1916",Tabla
41,P008116,20,"Donación Várez Fisa,",1400 - 1405,"Borrassà, Luis",Temple,"128,2","84,3","Catedral de Barcelona, 1936; Rómulo Bosch Catarineu; colección Várez Fisa, 2012; adquirido por el Estado por dación como pago de impuestos, 2012.",Tabla de madera de álamo
42,P007809,63,La Virgen De La Leche Con San Bernardo De Claraval Y San Benito,1400 - 1415,"Lembrí, Pere",Dorado,192,107,"Colección Garnelo, Madrid; Colección Batlló, Barcelona; Colección particular, Barcelona; Adquirido en Christies en 2002.",Tabla
43,P002684,26,"San Agustín, De Pontifical",1401 - 1425,Maestro de San Nicolás,Técnica mixta,127,53,"Legado Pablo Bosch y Barrau, 1916",Tabla
44,P001327,9,San Lucas,1401 - 1435,"Sevilla, Juan de",Temple,95,55,"Adquirida por el Junta Superior del Tesoro Artístico Nacional, 1928",Tabla
45,P001337,37,"San Bartolomé, San Pablo Y San Andrés",Siglo XV,Anónimo,Óleo,48,73,"Legado Mariano Lanuza y Fernández, 1940",Tabla
46,P002667,17,Proyecto De Altar,Siglo XV,Anónimo,Óleo,105,102,"Legado Pablo Bosch y Barrau, 1916",Lienzo
47,P002680,58,Inventario General De Pinturas (Iii). Nuevas Adquisiciones,Siglo XV,"Espalargues, Pere",Temple,88,63,"Legado Pablo Bosch y Barrau, 1916",Tabla
48,P002679,11,Crucifixión,Siglo XV,Anónimo,Óleo,"25,5","17,5","Legado Pablo Bosch y Barrau, 1916",Tabla
49,P002714,13,La Visitación,Siglo XV,Anónimo,Temple,60,43,"Legado Pablo Bosch y Barrau, 1916",Tabla pasada a lienzo
50,P003144,21,La Virgen De La Leche,Siglo XV,Anónimo,Óleo,18,13,"Donación Mª Ángeles Sáinz de la Cuesta, condesa viuda de los Moriles, 1969",Tabla
51,P007157,19,Cristo Ante Pilatos,Siglo XV,"Francés, Nicolás",Temple,186,175,"Iglesia de Yebes, Guadalajara; Museo Arqueológico Nacional; Museo del Prado, 1943",Tabla pasada a lienzo
52,P002054,14,Visio Tondalii,Siglo XV,El Bosco,Óleo,29,24,"Colección Real (colección Felipe V, Quinta del duque del Arco, El Pardo-Madrid, 1745, [nº 149]; Quinta del duque del Arco, 1794, nº 151)",Tabla
53,P006718,36,"Isabel De Borbón, Duquesa De Borgoña",Siglo XV,Anónimo,Óleo,58,46,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
54,P006719,35,"Margarita Luisa, Condesa De Flandes",Siglo XV,Anónimo,Óleo,58,46,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
55,P006720,33,"Carlos El Audaz, Duque De Borgoña",Siglo XV,Anónimo,Óleo,58,46,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
56,P006721,41,"Margarita Laura Alber, Condesa De Holanda",Siglo XV,Anónimo,Óleo,54,40,"Donación Hilly Mendelssohn, 1982",Lienzo sobre tabla
57,P003099,23,Retablo De La Magdalena,Siglo XV,Anónimo,Técnica mixta,191,165,"Adquisición, 1963",Tabla
58,P002051,35,Las Tentaciones De San Antonio Abad,Siglos XV - XVI,El Bosco,Óleo,90,37,"Colección Real (Real Monasterio de San Lorenzo, El Escorial, Madrid, Capilla del Noviciado, 1839)",Tabla de madera de roble
59,P002053,11,La Creación,Siglos XV - XVI,El Bosco,Óleo,188,77,"Colección Real (Palacio Real del Buen Retiro, Madrid, 1794, nº 997; Real Monasterio de San Lorenzo, El Escorial, Madrid, Iglesia Vieja, 1839)",Tabla
60,P002216,35,"Federico Iii, Emperador De Alemania",Siglos XV - XVI,"Wertingen, Hans",Óleo,47,32,"Colección Real (Palacio del Buen Retiro, Madrid, cuarto del infante don Luis-pinturas apeadas, 1772, ¿nº 786?; Buen Retiro, 1794, nº 1091).",Tabla
61,P003111,39,Santo Domingo De Guzmán Y Cuatro Santos,1405,"Gener, Guerau",Temple,155,87,"Colección Yakichiro Suma, 1962; adquirido por Junta de Exportación en 1962; asignado al Museo N. del Prado en 1965.",Tabla
62,P008106,8,Realista,1405 - 1408,Colart de Laon,Temple graso,47,"33,5","Colección Salazar, Vitoria, 1960; Colección privada hasta  2012; Adquirido por el Museo del Prado en la Sala Sotheby's de Madrid, 2012.",Tabla de madera de roble
63,P007630,35,Petición De La Mano De Santa Úrsula,Hacia  1410,"Mateu, Jaume",Temple,"99,5","43,5","Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
64,P007631,65,El Rey De Inglaterra Es Informado De La Propuesta De Santa Úrsula,Hacia  1410,"Mateu, Jaume",Temple,"99,5",45,"Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
65,P002532,58,Nuestra Señora De Gracia Y Los Grandes Maestres De Montesa,Hacia  1412,"Peris, Antoni",Temple,128,105,"Donación marqués de Laurencín, 1920.",Tabla
66,P001336,45,Retablo De San Juan Bautista Y Santa Catalina,1410 - 1412 (Obra original); 1510 - 1523 (Repintes de los rostros),"Sevilla, Juan de",Óleo,161,155,"Catedral de Sigüenza, Capilla de San Juan Bautista y Santa Catalina, hasta 1922; la tabla central procede de la colección de Wenceslao Retana, h. 1922-1924; por herencia pasó a su hijo Álvaro Retana, 1924-1929; adquirida por la Junta Superior del Tesoro Artístico Nacional con destino al Museo del Prado, 1929-1930. Las cuatro tablas laterales fueron compradas por el Museo del Prado, con sus propios fondos, al anticuario Sánchez Villalba, en 1930",Tabla
67,P001321,41,Retablo Del Arzobispo Don Sancho De Rojas,1415 - 1420,"Rodríguez de Toledo, Juan",Temple,532,618,"Fue retablo en San Benito de Valladolid, que precedió al de Alonso de Berruguete (siglo XVI). Pasó a la iglesia parroquial de San Román de Hornija, Valladolid, hasta 1928. Adquirido para el Museo del Prado ese mismo año.",Tabla de madera de pino
68,P002677,45,San Hipólito Repone La Pierna Al Boyero Pedro,1419 - 1421,"Borrassà, Luis",Técnica mixta,69,62,"Capilla de San Lorenzo de la catedral de Barcelona; Legado Pablo Bosch y Barrau, 1916.",Tabla
69,P001915,18,Antiguo Testamento,1420 - 1425,"Campin, Robert",Óleo,76,70,"Colección Real (Adquirida por Felipe II a Jacome Trezzo; Monasterio de El Escorial, Madrid, 1584; Oratorio de la enfermería, 1839)",Tabla de madera de roble
70,P001887,28,Los Desposorios De La Virgen,1420 - 1430,"Campin, Robert",Grisalla,77,88,Colección Real,Tabla de madera de roble
71,P008233,23,La Virgen De La Granada,Hacia  1426,"Angelico, Fra",Temple,87,59,"Carlos Miguel Fitz-James Struart y Silva, XIV duque de Alba, Florencia, 1817; Colección Casa de Alba, 1817- 2016; adquirido, con la colaboración de la Fundación Amigos del Museo del Prado, en 2016",Tabla
72,P000015/001,14,La Anunciación,Hacia  1426,"Angelico, Fra",Témpera,"162,3","191,5","Convento de Santo Domingo, Fiesole, 1425/28-1611; Mario Farnese, Roma, lo adquiere para obsequiar a Francisco Sandoval y Rojas V marqués de Denia y I duque de Lerma, pasó al monasterio de las Descalzas Reales, Madrid; Regalado al rey Francisco de Asís, Isabel II lo cede al Museo del Prado, 1861.",Tabla
73,P000015/002,31,Escenas De La Vida De La Virgen,Hacia  1426,"Angelico, Fra",Témpera,28,"189,3","Convento de Santo Domingo, Fiesole, 1425/28-1611; Mario Farnese, Roma, lo adquiere para obsequiar a Francisco Sandoval y Rojas V marqués de Denia y I duque de Lerma, pasó al monasterio de las Descalzas Reales, Madrid; Regalado al rey Francisco de Asís, Isabel II lo cede al Museo del Prado, 1861.",Tabla
74,P002825,17,El Descendimiento,Antes de  1443,"Weyden, Rogier van der",Óleo,"204,5","261,5","Capilla de Nuestra Señora Extramuros de Lovaina (Bélgica); adquirido por María de Hungría, para la capilla del Palacio de Binche; posteriormente enviado a España, a la capilla de El Pardo; Colección Real (Monasterio de El Escorial, 1574-1936); depositada en el Museo del Prado por la Junta Delegada de Incautación, Protección y Conservación del Tesoro Artístico Nacional, 1936; por Decreto de 02-03-1943 quedó establecido su depósito en el Museo del Prado; depósito del Patrimonio Nacional perteneciente al Real Patronato del Monasterio de San Lorenzo de El Escorial",Tabla
75,P002720,19,El Arcángel Gabriel,1425 - 1450,"Peris, Gonçal",Temple,34,23,"Legado Pablo Bosch y Barrau, 1916",Tabla
76,P002721,19,La Virgen Anunciada,1425 - 1450,"Peris, Gonçal",Temple,34,23,"Legado Pablo Bosch y Barrau, 1916",Tabla
77,P007632,57,Bautismo De Conan En Presencia De Santa Úrsula Y Su Padre,1425 - 1450,"Mateu, Jaume",Temple,100,"47,5","Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
78,P007633,36,Llegada A Inglaterra De Santa Úrsula,1425 - 1450,"Mateu, Jaume",Temple,100,"44,5","Convento de San Pablo de los Dominicos, Palencia; Antonio Gorostiza, Bilbao; Adquisición Fondos Legado Villaescusa, 1992.",Tabla
79,P008234,32,Funeral De San Francisco De Asís,1426 - 1430,"Angelico, Fra",Temple,"19,7","29,3","Colección Casa de Alba; donación Carlos Fitz-James Stuart y Martínez de Irujo, XIX Duque de Alba, 2016",Tabla de madera de chopo
80,P002844,25,Las Siete Artes Liberales,Hacia  1435,"Ponte, Giovanni dal",Temple,56,155,"Donación Francisco de Asís Cambó Batlle, 1941",Tabla
81,P002722,48,"The Virgin And Child, Known As The Durán Madonna",1435 - 1438,"Weyden, Rogier van der",Óleo,100,52,"Legado Pedro Fernández Durán y Bernaldo de Quirós, 1931",Tabla
82,P008121,20,"Donación Várez Fisa,",1435 - 1440,Maestro de Torralba,Temple,366,280,"Zaragoza?, comarca de Calatayud?; colección Junyer, Barcelona, antes de 1971; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",Tabla
83,P001332,35,Retablo De La Leyenda De San Miguel,Hacia  1440,Maestro de Arguis,Temple,344,160,"Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
84,P002538,41,Tríptico Con Pasajes De La Vida De Cristo,Hacia  1440,Maestro de las Horas Collins,Grisalla,78,134,"Familia Corella, Condes de Cocentaina, Valencia, s. XVI; Convento de monjas de la Encarnación, Valencia; adquirido a Eduardo Arévalo Carbó en 1931.",Tabla de madera de roble
85,P001332/001,53,Retablo De La Leyenda De San Miguel (Calle Izquierda),Hacia  1440,Maestro de Arguis,Temple,"276,3",87,"Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
86,P001332/002,51,Retablo De La Leyenda De San Miguel (Calle Derecha),Hacia  1440,Maestro de Arguis,Temple,276,"87,5","Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
87,P001332/003,48,"Predela: San Pablo, Santa Catalina Y San Lorenzo",Hacia  1440,Maestro de Arguis,Temple,"67,3","138,1","Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
88,P001332/004,47,"Predela: San Vicente, Santa Bárbara Y San Pedro",Hacia  1440,Maestro de Arguis,Temple,"67,3","137,5","Argüis, Huesca, recogido por Paulino Savirón en 1869-71 para el Museo Arqueológico Nacional; ingresó en el Museo del Prado, por permuta, en 1920.",Tabla
89,P001513,58,San Juan Bautista Y El Maestro Franciscano Enrique De Werl,1438,"Campin, Robert",Óleo,101,47,"Colección Real (Casita del Príncipe, El Escorial-Madrid, hasta antes de 1801, nº 257).",Tabla de madera de roble
90,P001514,13,Santa Bárbara,1438,"Campin, Robert",Óleo,101,47,"Colección Real (Casita del Príncipe, El Escorial-Madrid, hasta antes de 1801, nº 257).",Tabla de madera de roble
91,P001461,22,Tríptico De Miraflores,Hacia  1445,"Bouts, Dirk",Óleo,81,"202,6","Colección Real (colección de Felipe II, Real Monasterio de San Lorenzo, El Escoria, Madrid, 1584; encima de la puerta del refectorillo, 1839).",Tabla
92,P001511,22,La Fuente De La Gracia,1440 - 1450,"Eyck, Jan van",Óleo,181,119,"Segovia, Monasterio de  Santa María del Parral, de monjes jerónimos, sacristía, hasta 1838; Museo de la Trinidad.",Tabla
93,P002540,22,Tríptico De Miraflores,1440 - 1450,"Weyden, Rogier van der",Óleo,"46,8","34,5","Adquisición a la testamentaría de Fermín Lasala y Collado, duque viudo de Mandas y Villanueva, 1925.",Tabla
94,P001888,40,Tríptico De La Redención: La Crucifixión,Hacia  1450,Maestro de la Redención del Prado,Óleo,195,172,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
95,P001889,59,Tríptico De La Redención: Adán Y Eva Expulsados Del Paraíso,Hacia  1450,Maestro de la Redención del Prado,Óleo,195,77,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
96,P001890,66,Tríptico De La Redención: La Moneda Del César (Jesús Y Un Apóstol),Hacia  1450,Maestro de la Redención del Prado,Grisalla,195,77,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
97,P001891,41,Tríptico De La Redención: El Juicio Final,Hacia  1450,Maestro de la Redención del Prado,Óleo,195,77,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
98,P001892,45,Tríptico De La Redención: La Moneda Del César,Hacia  1450,Maestro de la Redención del Prado,Grisalla,195,77,"Madrid, Convento Real de Santa María de los Ángeles, de franciscanas clarisas (donación de Leonor de Mascareñas), 1564-1835; Museo de la Trinidad, 1835-1872.",Tabla
99,P001921,30,La Madonna Del Canciller Rolin,Hacia  1450,"Christus, Petrus",Óleo,49,34,"Piedrahita (Ávila), Convento del Risco, hasta 1839; Museo de la Trinidad.",Tabla
100,P008184,19,Nacimiento De Jesús,Hacia  1450,Maestro del Tríptico del Zarzoso,Temple,"136,5",152,"Monasterio del Zarzoso, El Cabaco (Salamanca), de monjas terciarias franciscanas, desde fecha no determinada; ingresó en la Colección Várez Fisa, poco antes de 1970; en depósito en el Museo del Prado desde diciembre de 2013; adquirido a la Colección Várez Fisa por el Museo del Prado, en parte con fondos del legado Villaescusa, Madrid, 2014",Tabla
101,P002666,30,La Trinidad Rodeada De Ángeles,Hacia  1450,Maestro de Velilla de Jiloca,Técnica mixta,97,86,"Legado Pablo Bosch y Barrau, 1916",Tabla
102,P002545,50,Retablo De La Vida De La Virgen Y De San Francisco,1445 - 1460,"Francés, Nicolás",Óleo,557,558,"Capilla de Esteva de las Delicias, La Bañeza (León); Ignacio Martínez lo vendió al Museo en 1932.",Tabla
103,P008122,20,"Donación Várez Fisa,",1450 - 1460,"Reixach, Joan",Temple,91,64,"Colección Várez Fisa, Madrid, antes de 1996; donación Familia Várez Fisa, 2013.",Tabla
104,P002683,22,Un Profeta (Fragmento),1450 - 1475,Maestro de San Jorge y la princesa,Técnica mixta,30,26,"Legado Pablo Bosch y Barrau, 1916",Tabla
105,P002671,27,Martirio De San Vicente. Ii,1450 - 1500,Anónimo,Técnica mixta,250,84,"Legado Pablo Bosch y Barrau, 1916",Tabla
106,P002670,23,Martirio De San Vicente,1450 - 1500,Anónimo,Técnica mixta,250,84,"Legado Pablo Bosch y Barrau, 1916",Tabla
107,P003109,22,Resurrección De Cristo,Segunda mitad del siglo XV,"Berruguete, Pedro",Óleo,96,57,"Colección Yakichiro Suma, 1962; adquirido por la Junta de Exportación en 1962; asignado al Museo Nacional del Prado en 1965.",Tabla
108,P002673,25,Martirio De San Sebastián,Segunda mitad del siglo XV,Anónimo,Temple,86,60,"Legado Pablo Bosch y Barrau, 1916",Tabla
109,P002674,47,Santa Irene Arranca Las Flechas A San Sebastián,Segunda mitad del siglo XV,Anónimo,Temple,86,60,"Legado Pablo Bosch y Barrau, 1916",Tabla
110,P007818,27,Memoria De Actividades 2002,Hacia  1460,"Sánchez, Juan",Técnica mixta,232,120,"Adquirido en Subastas Arte, Información y Gestión, Sevilla, 2002.",Tabla
111,P008202,34,San Martín Entronizado Con Donante,1455 - 1465,"Baró, Bartomeu",Óleo,"161,5",105,"Colección Gottscheweski, Berlín; Trinidad von Scholtz-Hermensdorff, duquesa de Parcent, Madrid, después de 1914; Felix Fernández Valdés, Bilbao; Mercedes Zavala Fernández-Valdés; adquirido a Christie's Ibérica, Madrid, 2015.",Tabla
